epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,188.142,1.38124,1.98154,2.16179,0.32117,0.77404,0.45663,0.24853,1.52464,1.87601,2.08205,0.000660045,0.000660045,0.000660045
43,192.515,1.40443,2.00602,2.16188,0.35191,0.78967,0.44536,0.25925,1.47087,1.88453,2.03356,0.000649046,0.000649046,0.000649046
44,197,1.36386,1.877,2.10775,0.28745,0.61977,0.41402,0.24292,1.53132,1.95934,2.1492,0.000638047,0.000638047,0.000638047
45,201.447,1.31691,1.93251,2.0578,0.33222,0.48878,0.38621,0.24117,1.51929,2.14062,2.26051,0.000627048,0.000627048,0.000627048
46,205.669,1.33526,1.9996,2.09394,0.27717,0.66214,0.37544,0.22564,1.54917,1.9355,2.1884,0.000616049,0.000616049,0.000616049
47,209.98,1.28314,1.95139,2.02405,0.27853,0.58045,0.39094,0.23302,1.47942,1.84653,2.10586,0.000605051,0.000605051,0.000605051
48,214.455,1.27328,1.91701,2.00905,0.27606,0.68974,0.40865,0.24858,1.47987,1.84866,2.1263,0.000594052,0.000594052,0.000594052
49,218.743,1.23268,1.83055,1.99638,0.31204,0.54537,0.3468,0.21211,1.4903,2.14217,2.16277,0.000583053,0.000583053,0.000583053
50,222.859,1.26565,1.86028,2.00378,0.3165,0.58924,0.36965,0.21358,1.49096,2.01554,2.10762,0.000572054,0.000572054,0.000572054
51,227.347,1.28975,1.78034,2.04268,0.30391,0.68519,0.41995,0.25675,1.45321,2.02385,2.08046,0.000561055,0.000561055,0.000561055
52,231.61,1.26071,1.76429,2.00757,0.36331,0.61692,0.42661,0.24472,1.47348,1.96067,2.05913,0.000550056,0.000550056,0.000550056
53,236.084,1.18675,1.74728,1.92068,0.3208,0.57642,0.43934,0.26717,1.48302,1.98687,2.12223,0.000539057,0.000539057,0.000539057
54,240.434,1.20067,1.76697,1.9602,0.34066,0.52564,0.42378,0.27154,1.40372,1.97287,2.03516,0.000528058,0.000528058,0.000528058
55,244.741,1.23324,1.73008,1.96713,0.3061,0.67083,0.42548,0.26603,1.37612,1.77807,1.99685,0.000517059,0.000517059,0.000517059
56,249.01,1.24277,1.72272,2.00646,0.37185,0.72335,0.43283,0.25354,1.38277,1.71145,2.01284,0.00050606,0.00050606,0.00050606
57,253.933,1.2061,1.73874,1.95452,0.41703,0.60876,0.4396,0.26959,1.34846,1.79623,2.01343,0.000495062,0.000495062,0.000495062
58,259.195,1.23458,1.73327,1.99883,0.31571,0.59988,0.39745,0.25959,1.34007,1.95435,1.99441,0.000484063,0.000484063,0.000484063
59,264.114,1.16641,1.69229,1.90631,0.29546,0.62327,0.41519,0.27775,1.35994,2.03548,2.00946,0.000473064,0.000473064,0.000473064
60,269.299,1.14514,1.65448,1.88142,0.35916,0.53654,0.43731,0.28491,1.29268,1.91375,1.95438,0.000462065,0.000462065,0.000462065
61,274.421,1.17166,1.63116,1.9271,0.42513,0.33677,0.41282,0.2592,1.3226,1.9676,2.00098,0.000451066,0.000451066,0.000451066
62,279.315,1.16954,1.67763,1.89649,0.40823,0.33295,0.42148,0.25959,1.33856,1.9217,1.99773,0.000440067,0.000440067,0.000440067
63,284.479,1.12814,1.7159,1.9003,0.32737,0.7076,0.45548,0.31318,1.28614,1.74276,1.87309,0.000429068,0.000429068,0.000429068
64,290.043,1.13851,1.6213,1.86855,0.28549,0.68938,0.42966,0.30379,1.25419,1.72527,1.82835,0.000418069,0.000418069,0.000418069
65,295.766,1.133,1.66823,1.88593,0.28066,0.67821,0.40471,0.27392,1.26221,1.81672,1.87126,0.00040707,0.00040707,0.00040707
66,300.786,1.12561,1.61131,1.86057,0.2954,0.65321,0.41434,0.27268,1.31439,1.86424,1.939,0.000396071,0.000396071,0.000396071
67,305.825,1.09658,1.58002,1.82841,0.28664,0.54506,0.4328,0.27507,1.42231,2.01262,2.10377,0.000385073,0.000385073,0.000385073
68,310.956,1.13359,1.5748,1.8432,0.36348,0.65447,0.40757,0.26991,1.36521,1.92955,2.05534,0.000374074,0.000374074,0.000374074
69,316.04,1.12449,1.55468,1.86885,0.34973,0.63086,0.39553,0.25541,1.40846,1.94632,2.09619,0.000363075,0.000363075,0.000363075
70,321.004,1.10547,1.60939,1.8413,0.381,0.49808,0.41502,0.25615,1.31827,1.93837,1.9745,0.000352076,0.000352076,0.000352076
71,325.986,1.11825,1.57141,1.84579,0.3215,0.6055,0.41564,0.2611,1.31614,1.96402,1.95101,0.000341077,0.000341077,0.000341077
72,331.181,1.13075,1.56918,1.84428,0.28152,0.68237,0.42521,0.2872,1.29715,1.86062,1.92205,0.000330078,0.000330078,0.000330078
73,336.211,1.08413,1.50951,1.79778,0.29253,0.59231,0.4327,0.28607,1.30757,1.89959,1.93094,0.000319079,0.000319079,0.000319079
74,341.211,1.0867,1.46551,1.80922,0.34855,0.5668,0.41388,0.24686,1.41673,2.13826,2.06834,0.00030808,0.00030808,0.00030808
75,346.266,1.07232,1.55602,1.80363,0.28992,0.67212,0.39334,0.24447,1.39496,2.10852,2.02357,0.000297081,0.000297081,0.000297081
76,351.502,1.0564,1.55075,1.76054,0.36711,0.64166,0.42739,0.28234,1.36034,1.85025,1.95421,0.000286083,0.000286083,0.000286083
77,357.161,1.06248,1.47444,1.79121,0.47028,0.50289,0.47254,0.30762,1.31185,1.70971,1.89662,0.000275084,0.000275084,0.000275084
78,362.329,1.05606,1.53037,1.77076,0.35764,0.53574,0.42277,0.27469,1.40656,1.82744,1.99823,0.000264085,0.000264085,0.000264085
79,367.618,1.02918,1.40422,1.75442,0.28128,0.61685,0.35439,0.21396,1.46721,2.11565,2.12282,0.000253086,0.000253086,0.000253086
80,372.725,1.05024,1.49749,1.81152,0.27396,0.51109,0.36678,0.2301,1.41578,2.07996,2.0488,0.000242087,0.000242087,0.000242087
81,377.746,0.97634,1.45169,1.74562,0.32233,0.52474,0.3943,0.25203,1.39292,1.97792,2.02035,0.000231088,0.000231088,0.000231088
82,382.58,1.05763,1.44885,1.78225,0.24685,0.61154,0.37715,0.22114,1.4383,2.01048,2.03699,0.000220089,0.000220089,0.000220089
83,387.739,1.04924,1.46055,1.73968,0.27825,0.64915,0.40558,0.26674,1.33223,1.92327,1.95139,0.00020909,0.00020909,0.00020909
84,392.824,1.05736,1.45025,1.76833,0.29118,0.69872,0.4174,0.26492,1.39072,1.93336,1.98076,0.000198091,0.000198091,0.000198091
85,397.94,1.02068,1.44188,1.7593,0.29111,0.64674,0.44444,0.28241,1.39062,1.82909,1.9845,0.000187092,0.000187092,0.000187092
86,403.074,1.05936,1.42036,1.78689,0.3256,0.62552,0.45935,0.31357,1.32555,1.79775,1.95505,0.000176094,0.000176094,0.000176094
87,407.978,1.0458,1.44,1.76982,0.31791,0.63705,0.42384,0.28815,1.35894,1.90711,2.00148,0.000165095,0.000165095,0.000165095
88,413.099,0.98485,1.36825,1.72908,0.3121,0.56224,0.4073,0.24593,1.44973,2.10287,2.0842,0.000154096,0.000154096,0.000154096
89,418.082,1.00919,1.43498,1.7436,0.31189,0.53205,0.39977,0.23932,1.41157,2.07262,2.05677,0.000143097,0.000143097,0.000143097
90,423.151,1.01515,1.4113,1.77778,0.35807,0.58974,0.41656,0.26155,1.36778,1.95643,2.00219,0.000132098,0.000132098,0.000132098
91,432.494,0.97364,1.33269,1.71691,0.34988,0.54369,0.42126,0.26369,1.39133,1.95454,2.03054,0.000121099,0.000121099,0.000121099
92,436.975,0.99611,1.4366,1.72327,0.36538,0.52005,0.4242,0.25978,1.40441,1.94888,2.04723,0.0001101,0.0001101,0.0001101
93,441.23,0.97049,1.38012,1.70776,0.35446,0.53103,0.4183,0.27164,1.40206,1.93398,2.06113,9.91012e-05,9.91012e-05,9.91012e-05
94,445.518,0.95618,1.36289,1.6999,0.377,0.51763,0.43203,0.27951,1.39522,1.95582,2.0607,8.81023e-05,8.81023e-05,8.81023e-05
95,449.791,0.94015,1.32837,1.69118,0.33187,0.63287,0.42251,0.27389,1.3662,1.93274,2.0009,7.71034e-05,7.71034e-05,7.71034e-05
96,453.978,1.05094,1.34119,1.79017,0.33899,0.61474,0.44409,0.29213,1.34425,1.88185,1.95698,6.61045e-05,6.61045e-05,6.61045e-05
97,458.31,0.98334,1.33222,1.70517,0.33177,0.62672,0.47393,0.30881,1.33314,1.82202,1.95663,5.51056e-05,5.51056e-05,5.51056e-05
98,462.695,0.94779,1.36929,1.69194,0.61957,0.37115,0.47253,0.31024,1.31648,1.81316,1.94367,4.41067e-05,4.41067e-05,4.41067e-05
99,467.016,0.99862,1.35159,1.73726,0.32318,0.5856,0.45974,0.3024,1.31783,1.84007,1.95353,3.31078e-05,3.31078e-05,3.31078e-05
100,471.249,0.95313,1.3371,1.70748,0.34396,0.61189,0.4628,0.30479,1.33283,1.84981,1.97389,2.21089e-05,2.21089e-05,2.21089e-05
